factory_twin_asset_id,zone,room,equipment_name,equipment_type,equipment_id,physical_asset_id,serial_number,manufacturer,model,device_id,plc_scada_mes_identifier,source_system,source_record,verification_method,verified_at,verifier_or_process,mapping_status,spatial_status,identity_confidence
EQP-F1-0094,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0095,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0096,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0097,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0098,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0099,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0100,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0101,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0102,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0103,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0104,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0105,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0106,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0107,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0108,FZ-F1-0016,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0109,FZ-F1-0006,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0110,FZ-F1-0006,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0111,FZ-F1-0006,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0112,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0113,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0114,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0115,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0116,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0117,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0118,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0119,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0120,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0121,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0122,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0123,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0124,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0125,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0126,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0127,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0128,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0129,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0130,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0131,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0132,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0133,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0134,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0135,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0136,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0137,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0138,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0139,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0140,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0141,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0142,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0143,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0144,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0145,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0146,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0147,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
